Folder,N_A,N_T,P_A,P_T,K_A,K_T,N_Quantity,P_Quantity,K_Quantity
Itala_afterChange/d_100,70.02493685,41.14830538,30.91393005,540.5797304,41.20782364,853.7215264,2.3688,0.137928,9.927288
Itala_afterChange/d_120,71.05198013,41.74494842,30.706092,549.2721101,43.53417626,855.3408082,1.974,0.11494,8.27274
Itala_afterChange/d_140,71.98401091,40.62631376,29.66538038,549.9781593,45.02401739,854.6689153,1.692,0.09852,7.09092
Itala_afterChange/d_160,74.48617284,42.92304113,29.91211586,560.9642356,47.24134891,839.2110182,1.4805,0.086205,6.204555
Itala_afterChange/d_180,75.84725924,45.57389712,27.87420485,577.3045232,47.46067796,844.8776191,1.316,0.0766266,5.51516
Itala_afterChange/d_200,75.32024764,48.73056496,30.04362113,584.4152736,47.95603754,844.8009214,1.1844,0.068964,4.963644
Itala_afterChange/d_220,75.7486399,46.08751998,30.38330451,585.8095614,48.01934771,844.9614278,1.07672,0.062695,4.5124
Itala_afterChange/d_240,76.86143007,49.98358924,29.22637094,602.2545013,48.83306231,843.3315868,0.987,0.05747,4.13637
Itala_afterChange/d_60,65.8866296,32.55581721,28.76117028,526.5071597,42.77467369,842.6174951,3.948,0.22988,16.54548
Itala_afterChange/d_80,68.50759394,34.38080362,29.46857082,534.2559704,41.37762878,849.3077258,2.961,0.17241,12.40911
jintur 1/d_100,33.70216188,36.16642096,13.40203362,561.0734762,21.11263804,850.9421289,2.522016,0.106512,12.420408
jintur 1/d_120,33.46976427,37.52632047,13.18481105,572.2542198,20.80205209,857.0198913,2.10168,0.08876,10.35034
jintur 1/d_140,63.363119,107.9237437,13.02605597,583.4364841,20.5436999,857.8218129,1.80144,0.07608,8.87172
jintur 1/d_160,36.65916819,51.93922996,13.3621715,596.4700198,20.15621513,857.1313282,1.57626,0.06657,7.762755
jintur 1/d_180,32.35864943,9.856085797,12.82686472,597.8151675,17.81535722,853.0390903,1.40112,0.059173,6.9
jintur 1/d_200,80.85102619,8.957382552,35.82527827,630.5505225,17.79475828,853.5879903,1.261008,0.053256,6.210204
jintur 1/d_220,37.60271457,15.4356629,13.11892536,627.3956082,17.34860891,853.795776,1.1463709,0.0484145,5.64564
jintur 1/d_240,29.99699556,32.86344205,13.56184171,650.6505104,13.43317321,854.8485078,1.05084,0.04438,5.17517
jintur 1/d_60,33.48875919,33.7725819,13.85281221,533.9873744,21.10289799,832.9166953,4.20336,0.17752,20.70068
jintur 1/d_80,33.67071943,37.45089888,14.21730575,537.6111623,21.02113518,843.4163055,3.1525,0.13314,15.52551
jintur 2/d_100,82.15432345,52.81585663,25.28240112,578.9089534,75.5418681,855.9616467,2.290176,0.23184,12.091
jintur 2/d_120,101.7336227,62.68972877,26.63515673,601.4267118,58.59097355,812.3738731,1.90848,0.1932,10.07608
jintur 2/d_140,101.9285949,64.07366249,24.59513764,613.9055913,59.53738829,811.9485316,1.63584,0.1656,8.63664
jintur 2/d_160,101.4294057,66.98957301,23.81909991,625.7981521,60.33888483,811.0571008,1.43136,0.1449,7.55706
jintur 2/d_180,103.4337497,69.94031063,25.47978257,636.7080667,78.94285158,810.8752494,1.27232,0.1288,6.717387
jintur 2/d_200,109.8563696,73.53932139,26.8165989,648.4680048,65.71119066,810.3458181,1.145088,0.11592,6.045648
jintur 2/d_220,113.1321881,79.06679545,27.4475731,657.4803418,59.16312826,810.137501,1.040989,0.105382,5.496044
jintur 2/d_240,115.2853073,79.59278478,26.14016282,668.4410536,62.24477301,809.7126505,0.95424,0.0966,5.03804
jintur 2/d_60,85.53684332,43.98546686,26.73167662,560.9007333,75.80505453,519.9333233,3.81696,0.3864,20.15216
jintur 2/d_80,84.66884108,47.83488078,25.13434975,570.3989021,76.10137098,858.9556573,2.86272,0.2898,15.11412
koregaon 2/d_100,28.9464367,43.56676356,12.55214404,563.6402912,18.27590662,860.9758338,2.814,0.28812,16.401168
koregaon 2/d_120,30.51081064,53.29768768,12.88865728,596.4023296,18.32673697,863.2599494,2.345,0.2401,13.66764
koregaon 2/d_140,37.75505862,61.40317698,14.42070234,641.2729694,18.46981834,866.0437784,2.01,0.2058,11.71512
koregaon 2/d_160,87.5166561,69.73946258,17.31506801,686.0342777,19.07645893,865.8920742,1.75875,0.180075,10.25073
koregaon 2/d_180,191.227247,69.62122278,24.22033051,685.4008931,24.83212478,865.6427232,1.56333,0.160067,9.11176
koregaon 2/d_200,466.1238738,66.10332966,57.16096761,665.8266397,69.18964776,864.0912844,1.407,0.14406,8.2
koregaon 2/d_220,862.9269297,59.13250304,134.9443836,622.7387018,247.3624334,864.0068523,1.279091,0.130964,7.455
koregaon 2/d_240,866.8785122,54.96876848,252.9228869,576.388278,685.1808937,863.7885365,1.1725,0.12005,6.83382
koregaon 2/d_60,29.94637768,36.60978224,11.56443868,522.7694539,18.49026384,853.7970014,4.69,0.4802,27.33528
koregaon 2/d_80,28.53594334,37.03555097,12.62964047,536.9213725,18.34023043,862.8525978,3.5175,0.36015,20.50146
koregaon_soil_1/d_100,25.29839187,38.9720378,12.92587015,526.5722248,15,827.6621334,3.633504,0.144144,7.28112
koregaon_soil_1/d_120,25.9498774,40.79871927,12.04468291,535.8331372,15.00020374,838.9420572,3.02792,0.12012,6.0676
koregaon_soil_1/d_140,25.37070001,43.92301439,13.07340542,546.4039597,15.0217284,854.9394667,2.59536,0.10296,5.2008
koregaon_soil_1/d_160,26.08036749,48.33267996,12.19422112,557.5648657,15,856.3512221,2.27094,0.09009,4.5507
koregaon_soil_1/d_180,26.56380003,47.19089898,12.69886972,559.8386823,15.04015605,855.9394633,2.018613,0.08008,4.045067
koregaon_soil_1/d_200,32.14495624,55.031746,13.52172687,594.6926224,15.07302056,855.7000701,1.816752,0.072072,3.64056
koregaon_soil_1/d_220,63.97498129,61.14581005,13.61652238,626.4501029,15.31258527,855.5268576,1.651593,0.06552,3.3096
koregaon_soil_1/d_240,160.21102,67.72562301,14.05490395,640.9134843,16.99643725,855.3487417,1.51396,0.06006,3.0338
koregaon_soil_1/d_60,26.41526429,33.8700252,12.70254102,507.406637,16,816.0300608,6.05584,0.24024,12.1352
koregaon_soil_1/d_80,25.67288307,34.89202426,12.6197607,518.2748987,15.45787663,820.9566602,4.54188,0.18018,9.1014
manvat/d_100,43.45658341,81.49154967,21.66842256,592.0266788,24.91782259,863.9406579,2.597952,0.156744,9.930984
manvat/d_120,31.66210837,60.78069059,15.14084742,590.9937489,18.98214566,866.3142591,2.16496,0.13062,8.27582
manvat/d_140,36.39834956,71.04006417,15.01421948,630.4702257,18.97362204,865.4151893,1.85568,0.11196,7.09356
manvat/d_160,65.00020546,80.47446543,15.83835989,670.2337174,18.93796809,865.3302141,1.62372,0.097965,6.206865
manvat/d_180,162.4565527,81.58799784,21.21254845,697.3510137,21.81735796,865.2158615,1.443307,0.08708,5.517213
manvat/d_200,373.7523924,77.50371874,43.62287676,682.0469556,38.04697194,864.3712963,1.298976,0.078372,4.965492
manvat/d_220,709.2908214,71.78238014,97.40895433,643.9516247,119.1865244,864.5434056,1.180887,0.071247,4.514084
manvat/d_240,866.2034009,68.61384964,193.1637076,600.1403303,356.7212577,862.907476,1.08248,0.06531,4.13791
manvat/d_60,41.81733518,67.59558069,20.8805349,558.6312626,24.49287014,864.1872248,4.32992,0.26124,16.55164
manvat/d_80,41.74803916,72.21447593,20.66883459,569.7632747,23.97728065,864.0607626,3.24744,0.19593,12.41373
manvat 2/d_100,57.47636629,45.04006481,13.23311578,564.0903673,65.65602084,853.6702915,2.005,0.1754,6.143424
manvat 2/d_120,54.11599819,51.55554341,14.49965644,570.2602293,63.94354121,865.9331494,1.67104,0.14616,5.11952
manvat 2/d_140,54.99356316,55.00192201,15.13725877,585.3387633,64.06169826,865.4882057,1.43232,0.12528,4.38816
manvat 2/d_160,57.89934923,57.97042952,14.82513164,596.2453523,64.89607332,865.1231907,1.25328,0.10962,3.83964
manvat 2/d_180,60.69836863,64.33465483,14.88472346,610.4605501,64.07549463,864.8225979,1.114027,0.09744,3.413
manvat 2/d_200,64.20183317,66.00156638,14.96085874,619.2606449,64.2594125,864.3677414,1.002624,0.087696,3.071712
manvat 2/d_220,68.74854811,67.45001329,15.98204665,631.3865153,64.19358019,864.2706415,0.911476,0.079724,2.792465
manvat 2/d_240,71.59327997,66.81196317,16.0056779,635.4431558,63.21420853,864.2422213,0.83552,0.07308,2.55976
manvat 2/d_60,55.28765179,47.62584661,15.74614235,556.9867255,62.86428725,859.2393772,3.34208,0.29232,10.23904
manvat 2/d_80,55.10069483,52.5080435,15.86153277,573.8585664,62.39399367,864.075339,2.50656,0.21924,7.67928
taroda_afterChange/d_100,27.29323178,47.45438939,15.75407807,590.8482989,17.92144931,857.4677379,2.263128,0.125328,11.011056
taroda_afterChange/d_120,28.05119366,53.97498624,14.74087744,618.1165741,18,857.6970037,1.88594,0.10444,9.17588
taroda_afterChange/d_140,30.19683612,59.6446538,15.55759105,642.0260167,18.00788752,857.8185357,1.61652,0.08952,7.86504
taroda_afterChange/d_160,38.40743377,64.90128148,16.3038309,678.4229272,16.83864171,857.754537,1.414455,0.07833,6.88191
taroda_afterChange/d_180,59.46605034,65.9349754,16.90923659,707.1977796,16.76371776,857.4981633,1.257293,0.069627,6.117253
taroda_afterChange/d_200,89.38677791,70.44886467,16.04103211,726.0682036,16.94832696,857.0695239,1.131564,0.062664,5.505528
taroda_afterChange/d_220,124.1888548,73.53536239,15.50482468,731.9347863,17.41521341,856.9045831,1.028695,0.056967,5.005025
taroda_afterChange/d_240,206.8987586,72.36956125,20.83952072,737.1393241,20.29822672,856.8267842,0.94297,0.05222,4.58794
taroda_afterChange/d_60,27.97525942,38.70253813,17.32264648,571.5244686,16.15127077,856.8541538,3.77188,0.20888,18.35176
taroda_afterChange/d_80,26.7055302,43.21918291,15.53639275,573.7985535,17.70044654,857.6871353,2.82891,0.15666,13.76382
ujawala_phata_afterChange/d_100,150.6342993,97.63208728,35.4685751,662.3816069,50.1802009,852.0808383,1.886304,0.14028,8.00436
ujawala_phata_afterChange/d_120,130.3059235,61.73678709,33.4430734,681.4884767,46.10893962,851.4300939,1.57192,0.1169,6.6703
ujawala_phata_afterChange/d_140,154.1317809,63.16755077,34.99104304,683.3661463,45.89845868,851.201024,1.34736,0.1002,5.7174
ujawala_phata_afterChange/d_160,189.8131282,68.2197189,33.61161737,699.646993,45.68918013,839.5831638,1.17894,0.087675,5.002725
ujawala_phata_afterChange/d_180,238.4145952,86.76772023,32.43428601,694.6409783,44.99328417,834.2319348,1.047947,0.77933,4.446867
ujawala_phata_afterChange/d_200,282.7532319,68.52754381,41.00807164,693.1927757,53.83313593,848.1817799,0.943152,0.07014,4.00218
ujawala_phata_afterChange/d_220,311.16761,81.74274196,45.20038741,686.7712444,58.44221406,852.596085,0.857411,0.063764,3.638345
ujawala_phata_afterChange/d_240,367.1986692,87.22003876,47.24921694,680.7452082,64.90822243,854.6044481,0.78596,0.05845,3.33515
ujawala_phata_afterChange/d_60,109.701085,48.12539393,40.55802089,599.6195376,55.71902398,847.5137094,3.14384,0.2338,13.3406
ujawala_phata_afterChange/d_80,109.3924534,51.56405773,43.05419037,629.1176784,49.69588105,832.9314169,2.35788,0.17535,10.00545
ujwala/d_100,88.13792091,42.48422833,20.67648588,545.1167814,58.34435692,748.6548823,2.053632,0.25536,10.3358
ujwala/d_120,88.8262592,45.68200222,20.16906606,552.2073745,58.60865191,791.2528894,1.71136,0.2128,8.61322
ujwala/d_140,88.28108121,48.83338929,21.01283064,556.6464794,58.226738,731.0834133,1.46688,0.1824,7.38276
ujwala/d_160,88.19790373,51.13760804,20.61497197,562.5500117,58.08692649,744.0217218,1.28352,0.1596,6.459915
ujwala/d_180,88.39113964,53.23132633,20.00815267,570.075087,58.20249664,755.4097604,1.140907,0.14186,5.742147
ujwala/d_200,88.40179499,55.5764467,21.08660091,576.9199443,58.02036994,765.7459577,1.026816,0.12768,5.167932
ujwala/d_220,87.55113255,57.49837304,18.02666719,595.448896,57.01238442,796.9759607,0.933469,0.116073,4.69812
ujwala/d_240,86.15389694,62.63661018,20.43111179,605.6593552,51.48754368,848.6945745,0.85568,0.1064,4.30661
ujwala/d_60,85.94947785,38.98771249,19.5779936,523.6927786,59.9565269,761.8485656,3.42272,0.4256,17.22644
ujwala/d_80,88.89381045,41.14196086,21.04085948,535.1980746,57.51726885,695.0286115,2.56704,0.3192,12.91983
